H_OQ-AT0532-AT0532	AT0532
H_OQ-AT0992-AT0992	AT0992
H_OQ-AT0658-AT0658	AT0658
H_OQ-AT1350-AT1350	AT1350
H_OQ-G5890-G5890	G5890
H_OQ-AT0479-AT0479	AT0479
H_OQ-AT0339-AT0339	AT0339
H_OQ-AT0312-AT0312	AT0312
H_OQ-AT0508-AT0508	AT0508
H_OQ-G5829-G5829	G5829
H_OQ-AT0766-AT0766	AT0766
H_OQ-AT0991-AT0991	AT0991
H_OQ-G6577-G6577	G6577
H_OQ-G5644-G5644	G5644
H_OQ-AT0466-AT0466	AT0466
H_OQ-AT0667-AT0667	AT0667
H_OQ-G5412-G5412	G5412
H_OQ-G6270-G6270	G6270
H_OQ-G6465-G6465	G6465
H_OQ-G6309-G6309	G6309
H_OQ-G5469-G5469	G5469
H_OQ-G5774-G5774	G5774
H_OQ-G6016-G6016	G6016
H_OQ-AT0228-AT0228	AT0228
H_OQ-DM212-DM212	DM212
H_OQ-AT0448-AT0448	AT0448
H_OQ-AT0851-AT0851	AT0851
H_OQ-AT1325-AT1325	AT1325
H_OQ-AT0335-AT0335	AT0335
H_OQ-G6240-G6240	G6240
H_OQ-AT0490-AT0490	AT0490
H_OQ-AT0735-AT0735	AT0735
H_OQ-AT0394-AT0394	AT0394
H_OQ-G5605-G5605	G5605
H_OQ-G5965-G5965	G5965
H_OQ-G5460-G5460	G5460
H_OQ-G6262-G6262	G6262
H_OQ-AT0223-AT0223	AT0223
H_OQ-AT0747-AT0747	AT0747
H_OQ-AT0519-AT0519	AT0519
H_OQ-AT0252-AT0252	AT0252
H_OQ-G6117-G6117	G6117
H_OQ-G6731-G6731	G6731
H_OQ-G5759-G5759	G5759
H_OQ-G5569-G5569	G5569
H_OQ-AT1103-AT1103	AT1103
H_OQ-AT1063-AT1063	AT1063
H_OQ-AT1299-AT1299	AT1299
H_OQ-G6234-G6234	G6234
H_OQ-G5444-G5444	G5444
H_OQ-G5903-G5903	G5903
H_OQ-AT1071-AT1071	AT1071
H_OQ-G6448-G6448	G6448
H_OQ-G6057-G6057	G6057
H_OQ-AT0408-AT0408	AT0408
H_OQ-AT0571-AT0571	AT0571
H_OQ-AT0395-AT0395	AT0395
H_OQ-G5798-G5798	G5798
H_OQ-G6729-G6729	G6729
H_OQ-G5789-G5789	G5789
H_OQ-AT0604-AT0604	AT0604
H_OQ-G6539-G6539	G6539
H_OQ-G6139-G6139	G6139
H_OQ-DM165-DM165	DM165
H_OQ-AT0922-AT0922	AT0922
H_OQ-AT1038-AT1038	AT1038
H_OQ-G5429-G5429	G5429
H_OQ-G6477-G6477	G6477
H_OQ-G6165-G6165	G6165
H_OQ-G5923-G5923	G5923
H_OQ-G6197-G6197	G6197
H_OQ-G6666-G6666	G6666
H_OQ-G6233-G6233	G6233
H_OQ-AT0337-AT0337	AT0337
H_OQ-G5438-G5438	G5438
H_OQ-G5812-G5812	G5812
H_OQ-G5838-G5838	G5838
H_OQ-G5876-G5876	G5876
H_OQ-G6140-G6140	G6140
H_OQ-G5869-G5869	G5869
H_OQ-G5770-G5770	G5770
H_OQ-G5666-G5666	G5666
H_OQ-G5169-G5169	G5169
H_OQ-AT0353-AT0353	AT0353
H_OQ-G6586-G6586	G6586
H_OQ-G5870-G5870	G5870
H_OQ-G6643-G6643	G6643
H_OQ-G6263-G6263	G6263
H_OQ-G5786-G5786	G5786
H_OQ-G5150-G5150	G5150
H_OQ-G5663-G5663	G5663
H_OQ-AT0921-AT0921	AT0921
H_OQ-G6187-G6187	G6187
H_OQ-AT0421-AT0421	AT0421
H_OQ-AT0430-AT0430	AT0430
H_OQ-G5939-G5939	G5939
H_OQ-G5775-G5775	G5775
H_OQ-AT0553-AT0553	AT0553
H_OQ-G6492-G6492	G6492
H_OQ-AT0869-AT0869	AT0869
H_OQ-G5905-G5905	G5905
H_OQ-G6583-G6583	G6583
H_OQ-G5834-G5834	G5834
H_OQ-G6737-G6737	G6737
H_OQ-G6704-G6704	G6704
H_OQ-G5977-G5977	G5977
H_OQ-G5707-G5707	G5707
H_OQ-AT0677-AT0677	AT0677
H_OQ-AT0295-AT0295	AT0295
H_OQ-G5901-G5901	G5901
H_OQ-G6043-G6043	G6043
H_OQ-AT1080-AT1080	AT1080
H_OQ-AT0683-AT0683	AT0683
H_OQ-AT0433-AT0433	AT0433
H_OQ-AT1305-AT1305	AT1305
H_OQ-G6611-G6611	G6611
H_OQ-G6261-G6261	G6261
H_OQ-G6356C-G6356C	G6356C
H_OQ-AT0297-AT0297	AT0297
H_OQ-AT0549-AT0549	AT0549
H_OQ-G6174-G6174	G6174
H_OQ-AT0644-AT0644	AT0644
H_OQ-AT1348-AT1348	AT1348
H_OQ-G5680-G5680	G5680
H_OQ-AT0853-AT0853	AT0853
H_OQ-AT0489-AT0489	AT0489
H_OQ-AT0707-AT0707	AT0707
H_OQ-AT0660-AT0660	AT0660
H_OQ-G6719-G6719	G6719
H_OQ-G6092-G6092	G6092
H_OQ-AT1174-AT1174	AT1174
H_OQ-AT0885-AT0885	AT0885
H_OQ-AT0892-AT0892	AT0892
H_OQ-AT0706-AT0706	AT0706
H_OQ-AT1068-AT1068	AT1068
H_OQ-G5703-G5703	G5703
H_OQ-AT0330-AT0330	AT0330
H_OQ-G6239-G6239	G6239
H_OQ-AT0796-AT0796	AT0796
H_OQ-G6691-G6691	G6691
H_OQ-AT0407-AT0407	AT0407
H_OQ-AT0542-AT0542	AT0542
H_OQ-AT0952-AT0952	AT0952
H_OQ-AT0985-AT0985	AT0985
H_OQ-G6473-G6473	G6473
H_OQ-DM158-DM158	DM158
H_OQ-G5415-G5415	G5415
H_OQ-AT0613-AT0613	AT0613
H_OQ-AT0426-AT0426	AT0426
H_OQ-AT0801-AT0801	AT0801
H_OQ-G5748-G5748	G5748
H_OQ-G5999-G5999	G5999
H_OQ-AT1017-AT1017	AT1017
H_OQ-G6207-G6207	G6207
H_OQ-G6504-G6504	G6504
H_OQ-AT0209-AT0209	AT0209
H_OQ-G5778-G5778	G5778
H_OQ-AT0926-AT0926	AT0926
H_OQ-G5449-G5449	G5449
H_OQ-G5701-G5701	G5701
H_OQ-AT0721-AT0721	AT0721
H_OQ-AT0265-AT0265	AT0265
H_OQ-AT0276-AT0276	AT0276
H_OQ-AT0720-AT0720	AT0720
H_OQ-G6635-G6635	G6635
H_OQ-G5815-G5815	G5815
H_OQ-G6642-G6642	G6642
H_OQ-G5345-G5345	G5345
H_OQ-G5906-G5906	G5906
H_OQ-G6056-G6056	G6056
H_OQ-G6387C-G6387C	G6387C
H_OQ-AT0865-AT0865	AT0865
H_OQ-G6424-G6424	G6424
H_OQ-G5643-G5643	G5643
H_OQ-AT1044-AT1044	AT1044
H_OQ-AT0955-AT0955	AT0955
H_OQ-AT0933-AT0933	AT0933
H_OQ-DM176-DM176	DM176
H_OQ-DM056-DM056	DM056
H_OQ-G6665-G6665	G6665
H_OQ-AT0217-AT0217	AT0217
H_OQ-AT1121-AT1121	AT1121
H_OQ-G6721-G6721	G6721
H_OQ-G5670-G5670	G5670
H_OQ-G5589-G5589	G5589
H_OQ-G6048-G6048	G6048
H_OQ-AT0782-AT0782	AT0782
H_OQ-G5951-G5951	G5951
H_OQ-G6430-G6430	G6430
H_OQ-G6190-G6190	G6190
H_OQ-G5804-G5804	G5804
H_OQ-AT0868-AT0868	AT0868
H_OQ-AT0346-AT0346	AT0346
H_OQ-AT0235-AT0235	AT0235
H_OQ-G5274-G5274	G5274
H_OQ-AT0329-AT0329	AT0329
H_OQ-AT1083-AT1083	AT1083
H_OQ-AT1069-AT1069	AT1069
H_OQ-AT0483-AT0483	AT0483
H_OQ-AT0308-AT0308	AT0308
H_OQ-AT0722-AT0722	AT0722
H_OQ-AT0507-AT0507	AT0507
H_OQ-AT0673-AT0673	AT0673
H_OQ-AT0817-AT0817	AT0817
H_OQ-AT0465-AT0465	AT0465
H_OQ-AT0240-AT0240	AT0240
H_OQ-AT0635-AT0635	AT0635
H_OQ-AT1000-AT1000	AT1000
H_OQ-AT0770-AT0770	AT0770
H_OQ-AT0515-AT0515	AT0515
H_OQ-G6319-G6319	G6319
H_OQ-AT0412-AT0412	AT0412
H_OQ-G6221-G6221	G6221
H_OQ-AT1337-AT1337	AT1337
H_OQ-G5456-G5456	G5456
H_OQ-AT0288-AT0288	AT0288
H_OQ-AT1290-AT1290	AT1290
H_OQ-AT0239-AT0239	AT0239
H_OQ-AT1109-AT1109	AT1109
H_OQ-AT0251-AT0251	AT0251
H_OQ-AT1286-AT1286	AT1286
H_OQ-AT0393-AT0393	AT0393
H_OQ-G6631-G6631	G6631
H_OQ-G6189-G6189	G6189
H_OQ-G6692-G6692	G6692
H_OQ-AT0820-AT0820	AT0820
